"primary"	"secondary"	"symbol"
"491"	"FBgn0000063"	"CG7643"	"Mps1"
"492"	"FBgn0000064"	"CG6058"	"Ald"
"493"	"FBgn0000071"	"CG2198"	"Ama"
"494"	"FBgn0000075"	"CG10501"	"amd"
"495"	"FBgn0000077"	"CG12127"	"amx"
"496"	"FBgn0000078"	"CG17876"	"Amy-d"
"497"	"FBgn0000079"	"CG18730"	"Amy-p"
"498"	"FBgn0000083"	"CG5730"	"AnxB9"
"499"	"FBgn0000084"	"CG9579"	"AnxB10"
"500"	"FBgn0000092"	"CG2650"	"CG2650"
"501"	"FBgn0000094"	"CG1361"	"Anp"
"502"	"FBgn0000097"	"CG3166"	"aop"
"503"	"FBgn0000100"	"CG7490"	"RpLP0"
"504"	"FBgn0000108"	"CG7727"	"Appl"
"505"	"FBgn0000109"	"CG18315"	"Aprt"
"506"	"FBgn0000114"	"CG31762"	"bru1"
"507"	"FBgn0000115"	"CG6025"	"Arl1"
"508"	"FBgn0000116"	"CG32031"	"Argk"
"509"	"FBgn0000117"	"CG11579"	"arm"
"510"	"FBgn0000119"	"CG5912"	"arr"
"511"	"FBgn0000120"	"CG5711"	"Arr1"
"512"	"FBgn0000121"	"CG5962"	"Arr2"
"513"	"FBgn0000137"	"CG3258"	"ase"
"514"	"FBgn0000139"	"CG6677"	"ash2"
"515"	"FBgn0000140"	"CG6875"	"asp"
"516"	"FBgn0000146"	"CG6137"	"aub"
"517"	"FBgn0000147"	"CG3068"	"aurA"
"518"	"FBgn0000150"	"CG2210"	"awd"
"519"	"FBgn0000152"	"CG9703"	"Axs"
"520"	"FBgn0000153"	"CG7811"	"b"
"521"	"FBgn0000157"	"CG3629"	"Dll"
"522"	"FBgn0000158"	"CG10422"	"bam"
"523"	"FBgn0000163"	"CG5055"	"baz"
"524"	"FBgn0000166"	"CG1034"	"bcd"
"525"	"FBgn0000173"	"CG18319"	"ben"
"526"	"FBgn0000179"	"CG3578"	"bi"
"527"	"FBgn0000180"	"CG4722"	"bib"
"528"	"FBgn0000181"	"CG3644"	"bic"
"529"	"FBgn0000182"	"CG4824"	"BicC"
"530"	"FBgn0000183"	"CG6605"	"BicD"
"531"	"FBgn0000206"	"CG8285"	"boss"
"532"	"FBgn0000210"	""	""
"533"	"FBgn0000212"	"CG5942"	"brm"
"534"	"FBgn0000216"	"CG3096"	"Brd"
"535"	"FBgn0000221"	"CG4934"	"brn"
"536"	"FBgn0000227"	"CG12205"	"Bsg25A"
"537"	"FBgn0000228"	"CG14025"	"Bsg25D"
"538"	"FBgn0000229"	"CG5680"	"bsk"
"539"	"FBgn0000233"	"CG12653"	"btd"
"540"	"FBgn0000239"	"CG9242"	"bur"
"541"	"FBgn0000241"	"CG17632"	"bw"
"542"	"FBgn0000244"	"CG9379"	"by"
"543"	"FBgn0000246"	"CG17604"	"c(3)G"
"544"	"FBgn0000247"	"CG31037"	"ca"
"545"	"FBgn0000250"	"CG5848"	"cact"
