"primary"	"secondary"	"symbol"
"579"	"MGI:103301"	""	"Cacnb4"
"580"	"MGI:103302"	""	"Bmp7"
"581"	"MGI:103305"	""	"Alk"
"582"	"MGI:103306"	""	"Tiam1"
"583"	"MGI:103307"	""	"Cacnb3"
"584"	"MGI:103309"	""	"Flot2"
"585"	"MGI:103310"	""	"Ptprk"
"586"	"MGI:103555"	""	"Clcn3"
"587"	"MGI:103556"	""	"Cxcl12"
"588"	"MGI:103557"	""	"Xpc"
"589"	"MGI:103558"	""	"Spi5l"
"590"	"MGI:103559"	""	"Sox18"
"591"	"MGI:103560"	""	"Kpna1"
"592"	"MGI:103561"	""	"Kpna2"
"593"	"MGI:103562"	""	"Hsd11b1"
"594"	"MGI:103566"	""	"Cd6"
"595"	"MGI:103567"	""	"Cxcr5"
"596"	"MGI:103569"	""	"Xk"
"597"	"MGI:103572"	""	"Cebpe"
"598"	"MGI:103573"	""	"Cebpd"
"599"	"MGI:103574"	""	"Amph"
"600"	"MGI:103575"	""	"Skp1a"
"601"	"MGI:103576"	""	"Ccl11"
"602"	"MGI:103577"	""	"Hand1"
"603"	"MGI:103579"	""	"Madcam1"
"604"	"MGI:103580"	""	"Hand2"
"605"	"MGI:103581"	""	"Musk"
"606"	"MGI:103582"	""	"Ercc5"
"607"	"MGI:104288"	""	"Pms2"
"608"	"MGI:104294"	""	"Tyro3"
"609"	"MGI:104295"	""	"Sla"
"610"	"MGI:104296"	""	"Nova2"
"611"	"MGI:104297"	""	"Nova1"
"612"	"MGI:104311"	""	"Ptger4"
"613"	"MGI:104327"	""	"Nog"
"614"	"MGI:104328"	""	"Rhbdf1"
"615"	"MGI:104336"	""	"Cryba2"
"616"	"MGI:104510"	""	"Myo7a"
